Country,Continent,Area,Population,Capital City
Czechia,Europe,78865.0,10698896,Prague
Portugal,Europe,92090.0,10305564,Lisbon
Gabon,Africa,267668.0,2225728,Libreville
Mexico,Americas,1964375.0,128932753,Mexico City
Italy,Europe,301336.0,59554023,Rome
Finland,Europe,338424.0,5530719,Helsinki
Zimbabwe,Africa,390757.0,14862927,Harare
Spain,Europe,505992.0,47351567,Madrid
Japan,Asia,377930.0,125836021,Tokyo
Seychelles,Africa,452.0,98462,Victoria
Albania,Europe,28748.0,2837743,Tirana
Moldova,Europe,33846.0,2617820,Chișinău
Guatemala,Americas,108889.0,16858333,Guatemala City
Germany,Europe,357114.0,83240525,Berlin
Guadeloupe,Americas,1628.0,400132,Basse-Terre
Bulgaria,Europe,110879.0,6927288,Sofia
Paraguay,Americas,406752.0,7132530,Asunción
Eritrea,Africa,117600.0,5352000,Asmara
Sudan,Africa,1886068.0,43849269,Khartoum
Equatorial Guinea,Africa,28051.0,1402985,Malabo
Colombia,Americas,1141748.0,50882884,Bogotá
Nigeria,Africa,923768.0,206139587,Abuja
Montenegro,Europe,13812.0,621718,Podgorica
Nepal,Asia,147181.0,29136808,Kathmandu
Brunei,Asia,5765.0,437483,Bandar Seri Begawan
Austria,Europe,83871.0,8917205,Vienna
Turks and Caicos Islands,Americas,948.0,38718,Cockburn Town
Bahamas,Americas,13943.0,393248,Nassau
United Kingdom,Europe,242900.0,67215293,London
British Indian Ocean Territory,Africa,60.0,3000,Diego Garcia
Liberia,Africa,111369.0,5057677,Monrovia
Anguilla,Americas,91.0,13452,The Valley
Central African Republic,Africa,622984.0,4829764,Bangui
Algeria,Africa,2381741.0,44700000,Algiers
Saint Lucia,Americas,616.0,183629,Castries
Romania,Europe,238391.0,19286123,Bucharest
United Arab Emirates,Asia,83600.0,9890400,Abu Dhabi
Morocco,Africa,446550.0,36910558,Rabat
Northern Mariana Islands,Oceania,464.0,57557,Saipan
United States Minor Outlying Islands,Americas,34.2,300,Washington DC
Botswana,Africa,582000.0,2351625,Gaborone
Lithuania,Europe,65300.0,2794700,Vilnius
Caribbean Netherlands,Americas,328.0,25987,Kralendijk
Cape Verde,Africa,4033.0,555988,Praia
United States,Americas,9372610.0,329484123,"Washington, D.C."
Australia,Oceania,7692024.0,25687041,Canberra
Guam,Oceania,549.0,168783,Hagåtña
Tonga,Oceania,747.0,105697,Nuku'alofa
Afghanistan,Asia,652230.0,40218234,Kabul
Falkland Islands,Americas,12173.0,2563,Stanley
Nauru,Oceania,21.0,10834,Yaren
Cook Islands,Oceania,236.0,18100,Avarua
Hungary,Europe,93028.0,9749763,Budapest
Mauritania,Africa,1030700.0,4649660,Nouakchott
Slovenia,Europe,20273.0,2100126,Ljubljana
Chad,Africa,1284000.0,16425859,N'Djamena
Vatican City,Europe,0.44,451,Vatican City
Benin,Africa,112622.0,12123198,Porto-Novo
Singapore,Asia,710.0,5685807,Singapore
Malta,Europe,316.0,525285,Valletta
Saint Vincent and the Grenadines,Americas,389.0,110947,Kingstown
Marshall Islands,Oceania,181.0,59194,Majuro
Thailand,Asia,513120.0,69799978,Bangkok
Liechtenstein,Europe,160.0,38137,Vaduz
Ireland,Europe,70273.0,4994724,Dublin
Maldives,Asia,300.0,540542,Malé
Vietnam,Asia,331212.0,97338583,Hanoi
Armenia,Asia,29743.0,2963234,Yerevan
Pakistan,Asia,881912.0,220892331,Islamabad
Ivory Coast,Africa,322463.0,26378275,Yamoussoukro
Russia,Europe,17098242.0,144104080,Moscow
Martinique,Americas,1128.0,378243,Fort-de-France
Timor-Leste,Asia,14874.0,1318442,Dili
Nicaragua,Americas,130373.0,6624554,Managua
Papua New Guinea,Oceania,462840.0,8947027,Port Moresby
Egypt,Africa,1002450.0,102334403,Cairo
Jordan,Asia,89342.0,10203140,Amman
Uruguay,Americas,181034.0,3473727,Montevideo
Burkina Faso,Africa,272967.0,20903278,Ouagadougou
Cambodia,Asia,181035.0,16718971,Phnom Penh
Ethiopia,Africa,1104300.0,114963583,Addis Ababa
Kiribati,Oceania,811.0,119446,South Tarawa
Bhutan,Asia,38394.0,771612,Thimphu
Dominican Republic,Americas,48671.0,10847904,Santo Domingo
Suriname,Americas,163820.0,586634,Paramaribo
Bangladesh,Asia,147570.0,164689383,Dhaka
Barbados,Americas,430.0,287371,Bridgetown
North Korea,Asia,120538.0,25778815,Pyongyang
Greenland,Americas,2166086.0,56367,Nuuk
Belgium,Europe,30528.0,11555997,Brussels
Palau,Oceania,459.0,18092,Ngerulmud
Norfolk Island,Oceania,36.0,2302,Kingston
South Georgia,Antarctic,3903.0,30,King Edward Point
Philippines,Asia,342353.0,109581085,Manila
India,Asia,3287590.0,1380004385,New Delhi
Indonesia,Asia,1904569.0,273523621,Jakarta
United States Virgin Islands,Americas,347.0,106290,Charlotte Amalie
Dominica,Americas,751.0,71991,Roseau
Rwanda,Africa,26338.0,12952209,Kigali
Madagascar,Africa,587041.0,27691019,Antananarivo
Hong Kong,Asia,1104.0,7500700,City of Victoria
Samoa,Oceania,2842.0,198410,Apia
Faroe Islands,Europe,1393.0,48865,Tórshavn
Pitcairn Islands,Oceania,47.0,56,Adamstown
Antigua and Barbuda,Americas,442.0,97928,Saint John's
Åland Islands,Europe,1580.0,29458,Mariehamn
Sweden,Europe,450295.0,10353442,Stockholm
Mozambique,Africa,801590.0,31255435,Maputo
Uzbekistan,Asia,447400.0,34232050,Tashkent
Wallis and Futuna,Oceania,142.0,11750,Mata-Utu
Ukraine,Europe,603500.0,44134693,Kyiv
Belize,Americas,22966.0,397621,Belmopan
"Saint Helena, Ascension and Tristan da Cunha",Africa,394.0,53192,Jamestown
Guernsey,Europe,78.0,62999,St. Peter Port
Tokelau,Oceania,12.0,1411,Fakaofo
